               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  73,            0.024162,           0.0078542,                   0,             0.91563,               0.925,              0.9519,             0.64634,            0.021958,            0.020377,                   0,            0.006436,            0.006436,            0.006436
                  74,            0.024782,            0.007868,                   0,             0.94812,               0.915,             0.95743,             0.61299,             0.02364,            0.019339,                   0,           0.0063865,           0.0063865,           0.0063865
                  75,            0.024201,           0.0075366,                   0,             0.91325,             0.89488,             0.94679,             0.64862,            0.022215,            0.020775,                   0,            0.006337,            0.006337,            0.006337
                  76,            0.024369,           0.0075515,                   0,             0.93647,               0.885,             0.93312,             0.60406,            0.023023,            0.021707,                   0,           0.0062875,           0.0062875,           0.0062875
                  77,            0.024112,           0.0075804,                   0,             0.91952,                0.92,             0.94719,             0.62915,            0.022799,            0.020916,                   0,            0.006238,            0.006238,            0.006238
                  78,            0.023587,           0.0076246,                   0,             0.91666,             0.93496,             0.94861,             0.63538,            0.022795,            0.021982,                   0,           0.0061885,           0.0061885,           0.0061885
                  79,            0.024525,           0.0079192,                   0,              0.9342,               0.925,             0.95346,             0.60337,            0.023609,            0.021745,                   0,            0.006139,            0.006139,            0.006139
                  80,            0.024413,           0.0075907,                   0,             0.83831,               0.935,             0.91465,             0.58306,            0.023996,            0.021539,                   0,           0.0060895,           0.0060895,           0.0060895
                  81,            0.024722,           0.0077134,                   0,              0.9049,               0.905,             0.94538,             0.64006,            0.023035,            0.021223,                   0,             0.00604,             0.00604,             0.00604
                  82,            0.023821,           0.0072446,                   0,             0.90895,               0.905,             0.93383,             0.61828,            0.022565,            0.020283,                   0,           0.0059905,           0.0059905,           0.0059905
                  83,            0.024388,           0.0075875,                   0,             0.91215,               0.935,             0.95382,             0.62334,            0.022777,            0.020555,                   0,            0.005941,            0.005941,            0.005941
                  84,             0.02432,           0.0076364,                   0,              0.8691,                0.93,             0.93239,             0.64101,            0.022178,             0.02028,                   0,           0.0058915,           0.0058915,           0.0058915
                  85,            0.023924,           0.0072979,                   0,             0.91244,                0.94,             0.94087,             0.60815,             0.02239,            0.021022,                   0,            0.005842,            0.005842,            0.005842
                  86,            0.023067,           0.0072597,                   0,             0.89158,               0.905,             0.91935,             0.63342,             0.02207,             0.02099,                   0,           0.0057925,           0.0057925,           0.0057925
                  87,            0.023668,           0.0074002,                   0,             0.92801,               0.905,             0.94626,             0.65113,             0.02237,            0.020506,                   0,            0.005743,            0.005743,            0.005743
                  88,            0.023525,           0.0075563,                   0,             0.94561,                0.87,             0.93603,             0.61446,            0.024173,            0.020988,                   0,           0.0056935,           0.0056935,           0.0056935
                  89,            0.023564,           0.0074528,                   0,             0.91787,                0.95,             0.94608,             0.64397,            0.022901,            0.019268,                   0,            0.005644,            0.005644,            0.005644
                  90,            0.022637,           0.0073847,                   0,             0.94296,                0.91,             0.94821,             0.65988,            0.021617,            0.020492,                   0,           0.0055945,           0.0055945,           0.0055945
                  91,            0.023775,           0.0072517,                   0,             0.92601,                0.94,             0.94745,             0.62495,            0.023546,            0.019592,                   0,            0.005545,            0.005545,            0.005545
                  92,            0.023062,           0.0075344,                   0,             0.93131,                0.95,             0.95621,             0.63842,            0.024279,            0.019836,                   0,           0.0054955,           0.0054955,           0.0054955
                  93,             0.02306,           0.0070069,                   0,             0.93467,             0.92989,             0.94668,             0.64638,            0.022624,            0.020536,                   0,            0.005446,            0.005446,            0.005446
